speaker,timestamp,words
Sam Schrager,0:00:01,"This conversation with Nellie Wood Smith took place at her home in Bovill on November 3, 1975. The interviewer is Sam Schrager."
Nellie Wood Smith,0:00:21,"When they made that a law, and voted in that pension business, that was at a time when he'd already been working for him thirty, forty years. And all that time they weren't doing that. All he gets is from that time on until he's retired. The latter part of his labor there was retired, that's all he could draw on. What does it come to for the... Thirty -six dollars and twelve cents."
Sam Schrager,0:00:51,And how many years is that for?
Sam Schrager,0:00:53,"Well, I don't..."
Sam Schrager,0:00:54,"He actually worked for them, you say?"
Sam Schrager,0:00:55,"Oh, fifty -three."
Nellie Wood Smith,0:00:58,"They didn't retire until he was eighty -three years old. Because they couldn't find anybody else that could take the place. He ran a nerve -wrack machine in the machine shop over there. Sometimes half octave, you haven't got a time, it'd go from one to the other. The drill press and the... He had the two lathes there. And then they had the... I don't know, all those things in the machine shop."
Sam Schrager,0:01:23,So he was indispensable to them?
Sam Schrager,0:01:25,"Yeah, he was just..."
Nellie Wood Smith,0:01:27,"they looked around and they couldn't find anybody that could run all those things. Maybe they could find somebody that could run one of them. But to have somebody take care of all of them, you have to hire five or six men or four, you know, to take care of all those things. Some of them couldn't run all those. He was pretty near born with that idea. He started working in the machine shop in the east when he was twelve years old. He started firing the engine and cleaning up around them. And he just grew up in the machine shop. His older brother was a master mechanic there. And then he was watching him, or whenever time he was putting up some machinery there. Or setting things up in their lathes. He was watching him and he got so he could just learn from his older brother. Just all he needed in the old... So he was quite efficient in the middle of time. And then after he was kind of grown up, the owner of the shop put him out into the foundry. They had a foundry and the connection was there in the machine shop. And he used to be a motor in that foundry. And he'd load up big things."
Sam Schrager,0:02:51,Do you know where he got the idea of coming west from? Where? By Bernie?
Nellie Wood Smith,0:03:04,"By... He got the idea from the... When his brother and nephew came west. Well, there was another man that had been a Greek friend of theirs. Mr. Hollenbeck. And he had come west and wrote back to them."
Sam Schrager,0:03:31,"He said, why don't you guys all come out here?"
Nellie Wood Smith,0:03:34,"Everything's kind of new and original, and everything's kind of wide open. And lots of things to do, lots of jobs. There's a possibility of lots of work."
Nellie Wood Smith,0:03:48,"And he said, why don't you come on out here?"
