speaker,words,tags,timestamp
,This conversation with William (Michigan Bill) Stowell took place in his home in,,
,"Lewiston, Idaho on Sept. 28, 1976. The interviewer is Sam Schrager.",,
SS,"Place to place, job to job.",,
WS,Why sure.,,
SS,That's the way you get there.,,
WS,Sure. I've done it for years. Yeah. I used to hate to pay my fares. I don't,,
WS,know,,
WS,"why but i did. Yeah, that was the custom then, you know, when we, everybody did",,
WS,"it, lumberjacks. It's oh, rn the supnertime but it got kind of cold in the",,
WS,winter.,,
SS,Where would you usually wind up riding on the train?,,
WS,Where?,,
SS,"Yeah, when you hopped in them days?",,
WS,"Well you riding the frsights, you get inside if you could, in an",,
WS,"empty boxcar. Otherwise you're outside. And passenger train, you either went",,
WS,"underneath or the blinds. Go underneath, right on the You had to have a",,
WS,"little board, about 18 inches long.",,
SS,You took it with you?,,
WS,"Yeah, sure. Sometimes you'd find one in there, but not always. You could sit",,
WS,on,,
WS,"it, you know. Kind of humped up. You never did that. No.",,
SS,Lot of my friends have done it. Go from Portland to San Francisco.,,
WS,Yeah.,,
SS,"I've hitchhiked a lot, but never rode the freight.",,
WS,"Deez, I used to never hitchhike. I always had a packsack, you know and",,
WS,"people don't like to pick you up, packsack and a lot of things. I never triec",,
WS,"that hitchhiking, I tried that a couple of times, but not very sucessfully. If I",,
WS,"wanted to go aways, I'd just jump on a freight and away I went.",,
SS,Did you have to watch out for the dicks?,,
WS,"On some, the UP was bad but in this country you take like the, well the NP,",,
WS,the,,
WS,"Great Northern, any of them, they were all good. But the UP was always pretty",,
WS,"hostile. I don't know why, but they, they had a school where they educated them",,
WS,Cheyenne it was. They was always ridin' them freights there. I mas there.,,
WS,Any direction. And they were pretty rough. It was for ayeaus on the yellow,,
WS,"road, you could ride for a dollar a division, you know. Like from Spokane to",,
WS,"know where Kootnai, Out of Sandpoint three or four miles. That was a division",,
WS,"then. That was, Kootnai to Paradise, that was another Paradise to",,
WS,"Missoula was another division. Change crews, you see. That's when they had the old",,
WS,"steamers, you know.",,
SS,But if you were riding the freight you didn't pay nothing.,,
WS,"Yeah, pay a dollar.",,
SS,Oh you did pay a dollar.,,
WS,"Often times, yeah. That's what I say they had. A dollar a division. Otherwise",,
WS,they'd throw you off. But they cut that out. Then you could ride for nothing.,,
SS,I've heard that the brakeys sometimes would nal- guys up,,
WS,"Oh yeah, sure. Sure they would. They used to hold up them firefighters quite",,
WS,often.,,
WS,"Be a whole bunch of em all, Christ, maybe a hundred of 'em you know, come off of",,
WS,"a fire. They wouldn't have much. They'd be going this way, that way, east, west,",,
WS,"someway and they'd ride a freight, you know. Spokane was kind of a jumping off",,
WS,"place then, it was kind of central like, you know, for, well for all those guys,",,
WS,"they nad to go in there to get new start, I guess. But, what was I going to say",,
WS,now?,,
SS,You were saying they nailed firefighters.,,
WS,"Oh yeah, yeah, they'd rob 'em there, you know. They, if you had anything they'd",,
WS,"take it, and leave you ride. But if you bad it hit out and they'd find it some",,
WS,"place, they'd throw you off. It was the rule.",,
SS,Did you hide your money?,,
WS,"Oh yeah, hide it in your shoe or your sock or your hatband or someplace. Yeah,",,
WS,"everybody tried to hide it someplace but, them guys knew all the hiding places.",,
WS,"So I've been robbed a hundred times. What's that, a lawnmower going?",,
SS,Sounds like it.,,
WS,That guy died over there.,,
SS,Who?,,
WS,"That big guy that lived there next door. He was buried about a month ago, I",,
WS,think.,,
WS,"His wife, oh she's a nice woman. Pretty little thing. She's about 40 I guess.",,
SS,"Talking about booze, where would you get it during the depression?",,
WS,"Anyplace. Anplace atall. Christ, it was easy to find. If you knew, if you weren't",,
WS,"a spender. I remember when they sold it a Pierce, five dollars",,
WS,"a gallon. That was'30, '31, during the depression, you know. Good stuff. Pretty",,
WS,"fair stuff, some of it. Some of it wasn't worth a goddamned, some, oh I guess,",,
WS,pretty good stuff that I got at the same place most of the time. Five dollars. But,,
WS,"then it went up and it kept going up, I don't know what the hell it was when they",,
WS,"legalized this whiskey,'bout twenty dollars, I guess, when they, see when was",,
WS,whiskey legal? »32. '33 I think. Yeah. '33 I think.,,
SS,Roosevelt got in there.,,
WS,Yeah.,,
SS,How often would you guys go drinking?,,
WS,Oh...,,
SS,Mostly weekends?,,
WS,"Oh no, oh no, not them days. Oh no, they'd stay three or four months.",,
SS,In a camp?,,
WS,Yeah. Average.,,
SS,They wouldn't drink in the camp?,,
WS,Oh no. No,,
SS,Why not.,,
WS,"Well, they just didn't want to, I guess. If they did get drunk they'd leave.",,
WS,Quit.,,
WS,"No, they didn't drink much in camp. Very, very little. They do now though. They",,
WS,all got bottles. Most of 'em have. They don't get drunk thoucft you know. They,,
WS,"take a couple a drinks, maybe a day, that's it. Chose that drink And the old",,
WS,"timers, thpy'te all gone, of course. Christ, they ain't none of them.",,
SS,I look for 'em. Can't find *em.,,
WS,"No, no, there ain't none. Have you seen Bowles lately? Wallace Bowles?",,
SS,"I've seen his sister, his younger sister.",,
WS,"Yeah, where's she live? Bovill.",,
SS,"Her husband died a couple of years ago, now she lives in Lewiston.",,
WS,"Well, he come to Bovill when he was about eight years old, Wallace did. He was",,
WS,born...,,
SS,"Yeah, that's right.",,
WS,But he left when he was a kid. I haven't seen him for a couple of years.,,
SS,He's around.,,
WS,Oh yeah.,,
SS,"Someone told me that the IWW's sent out a flying squad, like if the guys on",,
SS,the,,
SS,trains were getting held up. Did you ever remember anything like that?,,
WS,"Oh yes. Sure. They used to be highjackers on the trains, you know. Fellas made",,
WS,"a business of it. You know. Them firefighters, they followed sspecially. They",,
WS,have guns you know and you wouldn't know who they were til the train,,
WS,"got going. They'd be usually two of'em, you know. They'd frisk 'em and HM over",,
WS,"the other end of the car, so that they'd frisk and kept the others over there til",,
WS,"they called 'em out, you know. There'd be two of 'em, you know. They'd have guns",,
WS,and they'd shoot ya. They shot quite a few guys. Throw 'em off.,,
SS,If you put up too much of a fight?,,
WS,Oh yeah.,,
SS,That's pretty rough.,,
WS,"Yeah, but they never looked for nobody, you know, they didn't care much, you",,
WS,know.,,
WS,"The authorities, they'd find the body and put a little note in the paper",,
WS,"about it and that's all there was ever to it. They never, unless they happened to,",,
WS,"unless some guys held up someone in town or a bank or something, then they'd catch",,
WS,'em.,,
SS,Not the working stiff.,,
WS,Oh no. They didn't give a goddamn.,,
SS,"When you were held up, did you ever put up a fight?",,
WS,"Oh no, I got stuck up right in front of this shack. Twenty six dollars I had.",,
WS,I,,
WS,"always turn the porch light on when I go over town, you know. But I didn't this",,
WS,"night, and I was coming home and uoy was on the porch. And he bMV ef and started",,
WS,"talking to me and I didn't think nothing of it, you know. Until he asked me if I",,
WS,had any money. I didn't answer him then. Then it was two other guys that come from,,
WS,"over here. I see the three of them then, they ^ust said then,""Give us your money.""",,
WS,"So I give 'em the billfold. I said, ""Give me back my billfold."" So they did. They",,
WS,took the money. That's all they was to it. I never even mentioned it for two weeks,,
WS,"afterwards, I happened to tell somebody about it, but there's no use. I uouldn't",,
WS,know if I see them right there. It was dark and they had whiskers.,,
SS,"On the trains, I'd think the men would try to get together for self defense.",,
WS,"Well there wasn't much chance. They were mostly all individuals, you know, they",,
WS,see that gun and then think of themselves.,,
SS,"In the old days, it was so colorful.",,
WS,You say it looks that way now.,,
SS,Didn't it look that way then?,,
WS,Not to me. It was just another day's work. I didn't think it was too colorful.,,
WS,Oh,,
WS,I used to like horses. I always had a good team of horses. Took good care of 'em.,,
WS,"But these old cats, I don't care much for them, I guess, you know, piece of machinery.",,
SS,They make a lot of noise.,,
WS,Oh yeah.,,
SS,I was wondering about jungling up on the trains. What were the facilities like,,
SS,for,,
SS,that?,,
WS,"Well, some of 'em like these lumberjack towns, they all had pretty good jungles,",,
WS,you know. Frying pans and tin cans and dishes and everything. They were kept in,,
WS,"shape,they were always washed. Hanging up, everything was, you krsw. 3ungle was",,
WS,"a pretty likely spot, right by a nice spring or something. But, see, get out on",,
WS,"the main line, of course, everybody jungled up then pretty much, you know. Every",,
