speaker,timestamp,words

Sam Schrager,0:00:01,"This first interview with Arthur Sundberg was recorded at his home in Potlatch on July 11, 1975."
Sam Schrager,0:00:44,How was it that your parents heard about this mill coming in here and decided to come over here themselves?
Arthur Sundberg,0:00:56,"Well, where we lived in Wisconsin, we lived way up in the northeast corner of Wisconsin, just a few miles from Michigan. And of course that was a lumbering area and that's the big economy in that whole part of the country was lumbering years ago. But it began to peter out because when they logged, they logged. They just cut everything and of course the stuff didn't grow back as fast as it is. It isn't like what they're doing nowadays, you know. This selective logging."
Sam Schrager,0:01:45,They were just cutting out then? Just cutting and not replanting?
Sam Schrager,0:01:49,That's right.
Arthur Sundberg,0:01:50,"And then of course the bigger outfits, they began to move west because oh years before, why they'd, as the railroads moved out, you see the railroads were granted every other section on both sides of the track all the way across the country. And of course the railroads had an awful lot of timberland, you know, and of course that was a big inducement for some of these lumbering people too to start moving out this way and they come out and they invested in timberland and they got it for, just imagine, you know, practically for a song because you know values were way low those days."
Arthur Sundberg,0:02:51,"So they accumulated quite a scope of timber. Well then of course when they started to build this plant, there was several men that worked in the lumber mill in the town where we come from where my dad worked. They moved out here and they worked on construction work and then they went back and they was telling others, you know, about the big money out here, you know. Well, at the time we moved out here in the spring of 99, back in that area where we lived in Wisconsin, men that piled green lumber in the lumber yard say for 10 hours a day got a dollar and sixty-five cents for 10 hours work piled green lumber. And then of course the word come back there that out here they was paying two dollars and a quarter an hour for common labor. Just any common labor, you know, was two dollars and a quarter, a day, I meant not an hour. That is for a 10 hour day. Well, that was quite a thing."
Arthur Sundberg,0:04:22,"So my dad was a lumber grader back there and he got, as I say, lumber pilers got a dollar and sixty-five cents a day. My dad got two dollars and a quarter a day for grading lumber for 10 hours. Then when he come out here he got three dollars and a half a day. So that was quite a boost, you see."
Arthur Sundberg,0:04:54,"And that is what brought people out and of course there wasn't any lumber people that were native to this part of the country, you know. They all had to come from back in the Midwest or in the East, you see. And of course the Midwest was, oh Michigan, Wisconsin, Minnesota was the three principal logging areas of the United States at that time. Of course they had lots of towns south but it really wasn't recognized as a logging area at Southern Pine. And so that's how come that people migrated out this way. Well of course they come out here, why there was, they build up, they had five sawmills in Court Lane. And then there was sawmills in Harrison on the lake and at Springston. And then of course up north of Court Lane there was sawmills at Sandpoint and Bonners Ferry and Laclede and sawmills all over the country, you see. And all these people that operating these sawmills and they migrated out here from the Midwest."
Sam Schrager,0:06:28,Did they all start about the turn of the century?
Sam Schrager,0:06:39,Did your family have very deep roots in the Midwest logging? Had your father been there for long?
Arthur Sundberg,0:06:47,"Well, my parents they immigrated here from Sweden in the long, about 1890s, you see. And of course my dad had worked at that kind of work over in Sweden because that's quite a logging area over there, you know."
Arthur Sundberg,0:07:14,"And so of course when they come over here, well they just actually moved into the logging and lumbering work, you see."
Sam Schrager,0:07:29,I just can't help but take you back a little farther here and ask you if you knew why they decided to leave Sweden and come to America.
