speaker,words,tags,timestamp
,SAM SCHRAGER: This fourth interview with Arthur Sundberg is recorded at his,,
,"home in Potlatch on August 1, 1975.",,
SS,First thing that I was thinking of asking you about was the question of,,
SS,"working in the mill. You said to me once that it was, ""easy hire; easy",,
SS,"fire"".",,
AS,"Each department in the mill, that is in the whole mill complex, it was",,
AS,"divided up into quite a number of different departments, and they had a",,
AS,foreman in each department and that foreman he hired his crew and he,,
AS,fired his own crew. That's the way it used to be. And there wasn't any,,
AS,"unions or there was no recourse,if you was fired, you was fired. And",,
AS,"that's it! Nobody ever thought about going on up, you know, to top mana",,
AS,"gement to complain or anything, because that was— I never even heard",,
AS,tell of such a thing as that you know. They just took it as a matter of,,
AS,"course, you know. They'd hire you right on the spot without any inter",,
AS,"views, they never well, it was customary for a person, particularly",,
AS,"a young person asking for a job, the foreman would kind of eye him up and",,
AS,down and see how big he was and how strong he appeared to be and if it,,
AS,"was a job working with machinery, the foreman'd probably say, ""That guy",,
AS,"right over there, you go over, and he'll show you what to do."" So he'd",,
AS,"go over there and that fellow he would — he'd tell that guy, ""Well, the",,
AS,"boss sent me over here, you're supposed to show me what to do."" And so",,
AS,"he'd probably handle a few boards and, ""You do it like this."" And prob",,
AS,ably let you try it there for a minute or two and if it looked like you,,
AS,"do it, he'd just walk off. That was your breaking in period, and",,
AS,"it was just up to you to do it! And there was undoubtedly some, you know,",,
AS,that had previous experience or at least had previous experience of be,,
AS,"ing in the department, even though they didn't work there, because they",,
AS,"didn't have any restrictions on visitors. Everybody and anybody, kids",,
AS,or anybody else could just come and go around the mill there. Nobody,,
AS,"ever asked 'em any questions as to what they were doing there, so con",,
AS,"sequently kids that lived in and around that industry, they got quite",,
AS,a bit of firsthand knowledge of what it was all about as they were grow,,
AS,ing up. I know kids that'd be seven eight years old or probably young,,
AS,"er than that, they were running all over the plant down there. Kids ten",,
AS,"or eleven years old that were running all over the logs on the log pond,",,
AS,"just trying to stump one another, running on the logs, so the kids got",,
AS,quite a background knowledge of the industry before they went to work.,,
SS,How many people would be in the average sized crew? How many would the,,
SS,foreman be in charge of?,,
AS,"Well, that would depend a whole lot on what department it was; now then",,
AS,"you take, for instance, you'd start in— well, the log pond had probably",,
AS,"four or five men, and when you get up into the sawmill they probably had",,
AS,probably forty or fifty,,
AS,For a single foreman?,,
AS,"Yeah. And then get out on the green chain, why, oh, there would be prob",,
AS,ably twenty men there. Ten men on each side of this chain pulling lum,,
AS,"ber. Approximately that. Well then, in the days before they had the dry",,
AS,kiln.the lumber used to go from the green chain directly to the lumber,,
AS,"yard on these narrow gauge railroad cars. They had, oh, let's see, I",,
AS,think they had eight electric locomotives and these locomotives would,,
AS,haul green lumber— they would haul about six or eight big units of lum,,
AS,ber at a time. They were coupled together by two and a half inch extra,,
AS,"heavy pipe, and it had a flat coupler on the end. And each one of these",,
AS,cars had a castiron or caststeel drawhead on each end of the car— they,,
AS,would put this pipe into that drawhead and then the man had to drop a,,
AS,"pin in that hole. Well, these bars were twenty feet long, so they were",,
AS,"pretty heavy. Well, in making up a train there was a motorman and a",,
AS,switchman on each one of the locomotives and they carried these bars on,,
AS,the side of the locomotive on hangers. They would have to take one of,,
AS,"these bars, each one of 'em, and they'd go down along the string of cars",,
AS,"that had to be pulled out, and they would stick one end of the bar into",,
AS,this coupler and drop a pin in it and then the other end laid on the ground,,
AS,"and they would do that for each car, as many as they was gonna haul. Well",,
AS,"then, the motorman, the motor operator, he would move ahead a little bit",,
AS,and then the switchman he would have to lay on the side of the track with,,
AS,"this— he held the end of this bar on his leg, you see, and he would have",,
AS,to gauge that so that it would couple into this drawhead on this car as,,
AS,"he backed up on it, then he dropped the pin in, then jump out and go to",,
AS,"the next one. And that's the way they made up their train. Well then,",,
AS,"they would take it out to the lumberyard. And at that time, in the early",,
AS,"days here, there was about twenty-six or twenty-eight alleys in the lumber",,
AS,"yard, after that it was made larger, but to begin with— and then",,
AS,"there was double tracks in each alley, and these alleys were about eight",,
AS,"een hundred feet long, something like that. Well then, this motor crew",,
AS,then— say this tailend unit of lumber.it had to go into alley 4East.,,
AS,"Well, they'd L the switch and shove it into alley 4 East and uncouple",,
AS,it and take the bar out and hang the bar back on the 'locy. The next,,
AS,"unit had to go to alley 6 West, so they'd have to switch over and go down",,
AS,into alley 6 West and drop it off. Maybe there'd be two of 'em to drop,,
AS,off. And that's the way they used to distribute 'em. And then it got,,
AS,"into that section of the alley, well then, they had a man out there with",,
AS,a horse and he would hook his chain onto that car and he would pull that,,
AS,down and spot it in front of this pile where it was supposed to be piled.,,
AS,"And then the piling crew, they might have to just push it by hand one way",,
AS,"or the other to just get it spotted right, and then they would pile it.",,
AS,Well then— I think there were about five locomotives pulling green lum,,
AS,"ber and there was three, I think it was, that was pulling dry lumber,",,
AS,"but these locomotives that pulled the dry lumber in, they would haul six",,
AS,or eight united of green lumber— the same size locomotive hauling dry,,
AS,"lumber, they would haul eleven, twelve, maybe fourteen units of dry lumber",,
AS,"back in. Well, what they done then when they brought it they",,
AS,"would pull it up behind the planer and there was several tracks, there",,
AS,"was a regular switchyard there, and they would just uncouple all of their",,
AS,units right there and stack the bars up on the 'locy and then go back for,,
AS,"another drag. But, I think I told you the planer, it had twenty-two mach",,
AS,"ines in the planer, and there was a track going into each machine. And",,
AS,then there was two tracks going out from each machine; one track was for,,
AS,the lumber that was on grade for that particular order and the other track,,
AS,"was for, what they called, outs. You know, that was the lumber that was",,
AS,either higher or lower grade than what was called for and then that unit,,
AS,would be pulled out and go to the lumbershed for stacking up.,,
SS,Then the lumber went through the planer just when it was on order?,,
AS,"Yeah, that's right. It all stayed in the lumberyard rough, except, as I",,
AS,"say, the outs, that went to the lumbershed, and of course, they'd had an",,
AS,"order for a certain specie and a certain grade and dimension, well, then,",,
AS,"whatever they could of that order, they filled that out of the shed,that",,
AS,was already surfaced. And then the remainder come from the lumberyard,,
AS,"to be surfaced. But, oh, in the early years, they didn't do any remanufacturing.",,
AS,The only remanufacturing that was done with the surfaced lum,,
AS,"ber was that this lumber that come into the lumbershed for stacking up,",,
AS,"well, it was all graded again in the shed and then it was stacked in dif",,
AS,ferent units in this shed for dimension and grade and so on. But if,,
AS,"they had say, a number three board and it was a number three because it",,
AS,"had a two foot crack on one end of the board, you know, a check, that",,
AS,"made it a number three board, where otherwise if that wasn't there it",,
AS,"could be a number one board. Well, maybe the man that was grading in",,
AS,the shed; each one of these graders in there had a hand saw and he would,,
AS,saw off two feet of of the end of it by hand and then stack it up. That,,
AS,would upgrade the board. But that's the only remanufacturing that was,,
AS,done in the early days.,,
SS,You said that the planer mill surfaced the lumber; what do you mean by,,
SS,that?,,
AS,"Well, it was rough lumber when it come in and then when it come out it",,
