speaker,timestamp,words,End Time

Emmett Utt or Anna Utt,00:00:00,"Or look like the puppet government got the people down on a big con. Not true. You know how to do the German blackouts and drivers are nothing but pigs and all they would wasn't even Hitler. Because you know how the propaganda goes. It was almost to shoot a German one time and just like, go out. You'd think more about going out and shooting a bag of wood, wrap.",00:00:28
Emmett Utt or Anna Utt,00:00:28,"I know how propaganda can get people to look away. Well, from the Wobblies. Why do all the newspapers full it and just watch a terrible thing happen to the country, To the newspapers? They like to say they have no strong organization. I don't know. A secret couldn't get no part. I didn't know who was who. And I didn't know the higher man or the higher one.",00:00:55
Emmett Utt or Anna Utt,00:00:55,Whether they were.,00:00:58
Sam Schrager,00:00:58,"But what was it like in the in the community, like around around Princeton, here, among the families and there was it was their real hard feelings one way or the other. Yeah. Whereas a family, they're going to be sort of pro or against or well, keep shut about it and not want to say anything for fear that they have what.",00:01:20
Emmett Utt or Anna Utt,00:01:20,"Yeah. But do a lot of talking then. Cause like I say, you know, some farmers move through a lot of burner. Well, not different, but somebody's got to figure out I'm a little entitled to fire out of my little while, you know? Well, you know how it goes with going up around the country and flight regimes like they do by guys that put dynamite wood bottles and bottles of grain on I one to throw it into that machine.",00:01:50
Emmett Utt or Anna Utt,00:01:51,"I got about an hour to get the genders right. So we bang, blow it up and then got hot as hell and I might put spikes in the ground and put a male in that gun. But no question about it. But that gun sounded like it would blow up or anything. But you're left with that was like that.",00:02:13
Emmett Utt or Anna Utt,00:02:13,"And that was a way don't guys work and go 12 hours a day by goes for a dollar a day or something just gobbled up by guys from the few vulnerable out of the violent. But I got to thinking about the problem I got was to start paying more money and run shorter hours, a couple of hours out of 10 hours.",00:02:34
Sam Schrager,00:02:34,You think that it had it had an effect in the farming country to everything.,00:02:40
Emmett Utt or Anna Utt,00:02:40,"Everything that was working women for nothing and giving them no living quarters and all this terrible way that working men have done in early days, it terrible, terrible. Just couldn't do more as a lot of good. Barbara to give a dog a better place a fluke by a guy given a working man in a barn bunkhouse to have a bar.",00:03:08
Sam Schrager,00:03:08,"Was there much difference between the farmers now, among the farmers, there were there were there are some farms around here that could have afforded better to the men and other farms that were just dirt poor farms or what What was the difference among the farms in the world?",00:03:25
Emmett Utt or Anna Utt,00:03:25,"A farmer could have done better. You'd like everything else, you know. They can get a man to work for nothing. We'll do it. I believe that man did work quite hard enough to set him on down. Run down himself. Getting other guys? I don't know. Did a lot of hard work, man. And I don't think the farmers feel bad at all because the farmer sell it well.",00:03:54
