speaker,timestamp,"End Time",words

"Sam Schrager","00:00:00:00","00:00:21:14","This conversation with Emmett Art and Anna Gleason art took place at their home on Hadar Creek near Princeton on November 4th, 1975."

"Anna Utt","00:00:21:16","00:00:28:06","For $23. What year was that line?"

"Emmett Utt","00:00:28:06","00:00:29:12","By the same name."

"Anna Utt","00:00:29:15","00:00:31:25","Of that thing. Now, that was terrible."

"Emmett Utt","00:00:31:25","00:00:38:20","And I'd pay $5 to get hold of Bogart. That one about $50."

"Sam Schrager","00:00:38:22","00:00:44:13","What was when did you when did you two start going together?"

"Emmett Utt","00:00:44:16","00:00:45:01","I don't know."

"Sam Schrager","00:00:45:05","00:00:46:20","Yeah. When was that?"

"Emmett Utt","00:00:48:24","00:00:54:23","25. I took about one in 25. I like to go."

"Emmett Utt","00:00:54:23","00:00:58:23","Out to drive in 26."

"Sam Schrager","00:00:58:25","00:01:01:17","Three times and 27."

"Emmett Utt","00:01:01:19","00:01:06:00","Something like that. You got married? No, no, no. I don't know."

"Emmett Utt","00:01:06:04","00:01:10:04","Well, she. She was going to school out a little, too."

"Emmett Utt","00:01:10:06","00:01:13:02","And."

"Emmett Utt","00:01:13:11","00:01:15:19","it's a big deal."

"Anna Utt","00:01:15:22","00:01:21:08","Anyway."

"Anna Utt","00:01:21:11","00:01:37:26","What did you start to tell? I was going to finish that. Now, was my wife is going to say he walked up to me on the street and he said, What did you say to me now?"

"Emmett Utt","00:01:38:04","00:01:39:11","you got a brother?"

"Anna Utt","00:01:39:11","00:01:40:02","Yeah."

"Emmett Utt","00:01:40:04","00:01:41:06","It's in the board."

"Emmett Utt","00:01:41:29","00:01:46:22","No, not in town. Don't pop through all of that room. I just called you good looking."

"Emmett Utt","00:01:47:16","00:01:47:27","I was."

"Emmett Utt","00:01:47:28","00:01:48:12","Always."

"Anna Utt","00:01:48:14","00:01:49:19","High, good looking or something."

"Emmett Utt","00:01:49:26","00:01:52:06","would you say Monica monitor?"

"Anna Utt","00:01:52:09","00:01:57:02","Cause I thought he was."

"Emmett Utt","00:01:57:04","00:01:59:17","Yeah, I did."

"Anna Utt","00:01:59:18","00:02:02:22","All the girls, you know?"

"Emmett Utt","00:02:02:24","00:02:03:23","Yeah."

"Emmett Utt","00:02:03:25","00:02:08:11","Really? We tried to go together. 25."

"Anna Utt","00:02:08:13","00:02:31:05","Well, see, I went to school in Lewiston, then 25 and 26, and I finished down there in the fall of 26. I went to summer school in the fall of 26, and then I wound up here at the Woodfield School above Hollywood, you know, with their partners and I taught school up there. And that's when we went started."

"Emmett Utt","00:02:31:06","00:02:32:11","You got that thing on."

"Sam Schrager","00:02:32:13","00:02:37:13","That turned it on you and just turn on."

"Anna Utt","00:02:37:16","00:02:39:29","Has he got that turned on just you."

"Sam Schrager","00:02:40:01","00:02:41:09","Just a minute ago I."

"Emmett Utt","00:02:41:12","00:02:42:07","Heard."

"Sam Schrager","00:02:42:09","00:03:06:19","That I wanted it well done. I wanted to know how you guys got together in the old days. It seems like those aren't such old days, but it really seems more different than the nowadays. You know, as far as young folks meeting and deciding they're going to make a life together, you know, well."

"Emmett Utt","00:03:06:20","00:03:24:04","A little trouble. They then make up bit too fast. I think you three or four times your size right now that for you look like a couple of sticking. Well before they go ahead."

"Emmett Utt","00:03:24:06","00:03:27:07","Yeah, well well, when you're when."

"Sam Schrager","00:03:27:07","00:03:36:04","You were going you were going to to school there in Lewiston was a normal common teacher right? Yeah. I mean to become a teacher, right?"

"Anna Utt","00:03:36:10","00:03:37:20","Yeah. Yeah."

"Emmett Utt","00:03:37:22","00:03:38:11","And she taught."

"Anna Utt","00:03:38:12","00:03:55:28","And I went for two years and then chambers clerk and then the meantime I substituted one year here and one quarter and,"

"Anna Utt","00:03:56:13","00:03:59:23","Takes us up to 29."

"Emmett Utt","00:03:59:26","00:04:07:12","When she were teaching school or what year it was."

"Anna Utt","00:04:07:14","00:04:10:20","Then I started again in 43, you know, during the war."

"Emmett Utt","00:04:10:22","00:04:11:23","After the war."

"Emmett Utt","00:04:11:26","00:04:15:16","And that writing on. Yeah, that was right."

"Anna Utt","00:04:15:19","00:04:18:10","I taught for 49."

"Sam Schrager","00:04:18:12","00:04:32:18","Well well when I was courting according a very formal kind of thing. I mean did you, did you get, get engaged very early or did you just date more or less like, you know."

"Anna Utt","00:04:32:20","00:04:39:17","It was Christmas in 48 and we married in September 49, 20."

"Emmett Utt","00:04:39:18","00:04:41:12","Busy 29."

"Anna Utt","00:04:41:16","00:04:43:09","29. Yeah, 29."

"Sam Schrager","00:04:43:09","00:04:45:13","You got engaged in Christmas at 20."

"Anna Utt","00:04:45:13","00:04:48:05","Four and 28. Yeah, I did. I say probably."

"Sam Schrager","00:04:48:08","00:04:49:14","But you're thinking of teaching."

"Anna Utt","00:04:49:20","00:04:51:10","Yeah, I."

"Emmett Utt","00:04:53:00","00:04:53:14","yeah."

"Emmett Utt","00:04:53:18","00:05:00:11","No more business. I don't remember much about that badly in writing. They had, you know, in."

"Sam Schrager","00:05:00:11","00:05:03:21","The second war. Yeah. No, I was before I was born."

"Anna Utt","00:05:03:24","00:05:04:05","Yeah."

"Emmett Utt","00:05:04:08","00:05:07:22","I figured I had a way, you know."

"Emmett Utt","00:05:07:26","00:05:17:28","I was a solid down to mil head soldier. They had bought carriages. Know each one had enjoyed it, you know."

"Emmett Utt","00:05:18:00","00:05:20:00","Yeah. And anyway."

"Emmett Utt","00:05:20:02","00:05:29:18","And she was teaching school up here. I was glad and I had about eight or nine, had two cows but two beef cattle to feed and take."

"Emmett Utt","00:05:29:20","00:05:31:11","And I were."

"Emmett Utt","00:05:31:14","00:05:57:13","Running the farm too. And so I had to have, you know, three out of the guys a week and a lot. But three gallon was run too well. I had that much to do. Cows, that old sergeant, old 27 Dodge. We had that. And then I had the 42 Plymouth. And so she had to go to school. I had to go to the mill and we had Digger Creamery Town and run around."

"Emmett Utt","00:05:57:15","00:06:04:01","I went over to Moscow to try to get some extra gas."

"Emmett Utt","00:06:04:03","00:06:05:11","No."

"Emmett Utt","00:06:05:13","00:06:12:23","No, I just couldn't do it. She, like everybody, wanted to get extra gas because of Diablo, you know, He didn't need it, you know?"

"Sam Schrager","00:06:12:26","00:06:13:11","Yeah."

"Emmett Utt","00:06:13:14","00:06:24:21","So I went to her a couple of times and they turned me down, and I can't give you an account. I guess I told them I need a form day. So. My God, she had to go to school. Had to go to work ahead."

"Emmett Utt","00:06:24:23","00:06:25:23","Do my run around on."

