speaker,timestamp,words
Sam Schrager,00:00:00,"How come Day and others become millionaires from mining stock. How a contractor makes good when he hits Spokane. A black North Carolinan who makes good in Brewster, Washington. How two wives fool their husbands in a brothel. How do you feel about the first thing I want to ask you about?"
Sam Schrager,00:00:26,"The first thing I want to ask you about is Joe Wells. You know the Negro, Joe Wells."
Sam Schrager,00:00:34,"Now, are you from the same Wells family that came out to Deary and lived out there? How are you all related to them?"
Elmer Wells,00:00:46,The others come out here and they run a blacksmith shop with their son on the Deary you've heard of that. They're different cousins of mine.
Sam Schrager,00:00:58,So did you know Joe Wells?
Elmer Wells,00:01:00,The nigger?
Sam Schrager,00:01:01,Yeah.
Elmer Wells,00:01:01,Why yes his daddy to raised him.
Elmer Wells,00:01:03,I knew his daddy in North Carolina and he raised him. The boys moved everyone to come west and the old man had quite a little land. He raised Joe as a slave and he went through some of those lands and he went and divided his money with the three of them. He said Joe helped make it just as well as his own two sons and here they all come to Idaho.
Sam Schrager,00:01:34,Was he Joe's slave before the Civil War? Was Joe his slave before the Civil War?
Elmer Wells,00:01:40,"He was his old man's slave during the war and so forth. Now in his field, you stay that long with him."
Sam Schrager,00:01:52,Was he this man's slave or was he his father's slave?
Elmer Wells,00:01:57,I don't know so much about that but then he was a slave and he was raised by the old man you know.
Sam Schrager,00:02:05,So he stayed on and he became like one of the family?
Elmer Wells,00:02:08,Well anyhow he adopted the name as Wells you know. Just by his own idea.
Sam Schrager,00:02:19,So he treated Joe pretty good?
Elmer Wells,00:02:21,"Yeah, like his own two boys. Now you'd find it quick to business up there in Deary. The Blacksmiths many years and so forth. Well they knew Bob West. There was some more in our country. There were several who lived here at the time. So Bob West wanted him to come up. I wanted to see him. Bob West didn't know what had happened on the mine but they didn't want to make it. He didn't want to come up any of it. He'd talk to him all night. Next day he had breakfast where they told him where he'd come from. He wanted him to be there staying in his home. But the other wanted him to come to town and bring him money to put it in the bank. And he wanted him to be with him. So he'd come down with over ten thousand dollars in gold and put it in the bank."
Sam Schrager,00:03:21,Now who had the money to put in the bank? Bob West or the Wells boys?
Elmer Wells,00:03:26,Wells boys.
Elmer Wells,00:03:28,"So then they went and sold out there. And then of course where that place first, where the tunnel goes through, later over here going to Moscarino. Yeah. Before that hill was at the first house right there. There were forty acres. They both left there and lived there until the death before the death. They had to move to another place to take care of them."
Elmer Wells,00:04:03,They had to pay them well for taking care of them.
Sam Schrager,00:04:05,So they had a good blacksmith business up there in Deary? Did they?
Elmer Wells,00:04:16,And nobody else knew about that. They were showing to me later.
Elmer Wells,00:04:27,"Well now it says, you know this Wells gets in trouble by the other couple of miles."
Elmer Wells,00:04:34,"He says, how are you fixing your mouth?"
Elmer Wells,00:04:36,"He says, I don't need anything else."
Elmer Wells,00:04:42,"They left it to their sister, you know. They had a sister. And so she got to the Wells, you know. At least she was all the way past the way. And that's the reality."
Sam Schrager,00:04:58,"Now you say, what was the man's name that the Wells that brought up Joe Wells, that took care of Joe Wells, what was his name?"
Elmer Wells,00:05:05,His name was Wells.
Sam Schrager,00:05:07,"Oh, it was his first name?"
Elmer Wells,00:05:09,"The old man. Yeah. I forgot, if I said for certain."
Sam Schrager,00:05:13,"But now you said, did he help bring you up too, the same guy? Me?"
Elmer Wells,00:05:18,Yeah. The old man?
Elmer Wells,00:05:19,"Yeah. Well I know I'm from a different family entirely. Entirely different family. Oh, way, way away. Way away from me."
Sam Schrager,00:05:28,Did you know about them being out here when you came out here?
Elmer Wells,00:05:32,"Well God yes, I knew when they left to come here. Yeah, yeah. It's one of them goodbye when they come to Idaho. Several others too, a lot of them come."
Sam Schrager,00:05:44,Did they're coming out here and have anything to do with your landing up here?
Elmer Wells,00:05:48,"Well I don't know. It's exactly the same. Quite a few others had come out here and scattered all over the West in all different places. Very, very different places, as I knew. So things, I grew up in West High School and then went to college two years. So I had some money, made some money. I was in the cafeteria buying young cattle you know, and go away from home 20, 30, 40 miles away. And these young calves were up for a pretty good sight. I'd buy them six or eight at a time, start home with them, and some of them cattlemen would stop me. I'd buy them and I'd sell them. I'd go back and do the same trick right over again. I made some money, but most of them made up their mind they wanted to come West. Well I think so. I just went to see how it looks out West too. So four or five of us made up their mind to come, and by that is what we did."
Elmer Wells,00:07:09,"So some of them dropped off off in Colorado, others come over here to grow up cold facts. We went to West for about four or five of us, went on to Seattle. We left Oxford, Tennessee, and left Ashford, North Carolina, the 17th of March, 1992. Come up, come to Seattle, and things never could be any worse. We left all that rain in the weather, no jobs at all. All that rain, I got some discusses. We went to visit mine, I was going to find some places different. When I come, I went over here to Spokane, and I was looking at the Pacific map, a really good map. I spoke about Moscone, Julien, and Lewis. I said, God, I know some people. It's all those places. I'm going down there to see if I can find them. I come down here and I found them. Well, I wasn't here very long back. I got a job in the implement store right where the safety was, where the JCPenney. I got a job."
Sam Schrager,00:08:40,"Was that Shields then? What was the name of the place then, the name of the store?"
Elmer Wells,00:08:47,"Well, MJ Shields only. He owned a lot of land around here, over there, too. He had real little electricity plants down there for mark builders, builders, that, that. He had run an itch, you know. Of course, town was very big. But he ran a little electricity plant down there. And here, I worked for him for quite a little while. He got in the carload of coal, and Rayner was just pouring it, but it produced a couple of days. And he needed his own loaders down there. He couldn't find anyone that didn't let Rayner do it. So he was trying one man to do it, help on loaders, and I had to go and help him. I told him, me was going by to work close to that range and do that. And I said, yes. I said, well, you go to hell."
Elmer Wells,00:09:51,"It's what you do. So I had one way. So I wasn't giving it right now. But I told him, I said, you know, I had room to stay in here, please. I said, you know, I'm going to tell you a little trip. It was just down Portland and see what it looks like."
Elmer Wells,00:10:16,"He was waiting a time. He was caring. Went to Portland. I think, see, I'm here in Los Angeles. I went down to Los Angeles."
Sam Schrager,00:10:32,But you came back.
Elmer Wells,00:10:34,"Yeah. I stayed down in the fire. And I had friends that lived over in Arizona and went over to the register with them. And I turned around and came back here. And I let my folks know my brother and brother. So they sold out in North Carolina and come here. And we bought a very, very bought a place out here, Moscow Mountain. It's just very out of the prior. It's in the timber, just the edge of the timber. There's a lot of places here. It's for sale. It doesn't matter. But he took a lot of money. And when he didn't have it, well, you couldn't buy a big place here. So we bought that place. And there's an old house on it that I fixed it up to live in for a couple of years. And I went to the bay of the horse and they'd run it. Built a house. I built a house. There were trees where I wanted to build a house."
Elmer Wells,00:11:37,And built a good house.
Sam Schrager,00:11:38,"Did you cut any wood to sell in Moscow? A lot of people in the mountain cut wood, didn't they?"
Elmer Wells,00:11:44,"Yeah. Yeah, I cut quite a bit of two."
Sam Schrager,00:11:49,Did you come into town and sell it?
